Id,Score
diegoguillens,0.41
rober_lora,0.27
oscarleero,0.45
amed_vera,0.46
benito100cia2,0.4
gasheta3,0.42
dariojones95,0.46
niztoltmartinez,0.32
epn,0.39
diegomartineztv,0.35
mugiwuara_,0.36
maxleonhart9,Null
derthebriv,0.29
sparks1752,0.25
daniela30883055,Null
tristan100yami1,Null
pexelochoa,Null
emilyrodrguez16,0.36
rodrigolopezrd,0.35
pollo119967,Null
s100tifika1,0.34
fer100tifika,Null
tiohapoo,Null
juandaviunrex,0.3
killer1875,Null
lu1s1to4,0.38
elcolombiano130,0.25
dilangu42507844,Null
hdzchriis,0.53
policiafedmx,0.49
lordkobura,0.27
katymor60304568,0.6
krwozkar23,0.34
gatomanuel3422,0.54
thrallking1,Null
jndg14,0.37
angelpascualar1,0.33
kevingasheta,0.29
fercho_tal,0.34
dianaca17932828,Null
ximena2001161,0.24
gaby100tifika,0.28
honk_miracles,Null
reynaldo_ska12,Null
bibibiersack74,0.34
santiagosar2003,0.37
lordcamilo16,0.61
diego94zod,0.21
poo_vizuet,Null
ivanalv16,0.29
brandongtrz,0.32
thaliia_viidal,Null
angeluis_al55,0.34
nestor_montiel9,0.31
cattorresu,Null
juliosanchez137,0.46
hellboy6667,Null
crissax17crews,0.34
superemilio2312,0.44
jamesbl97,Null
benitezjose119,0.3
nanfross,0.49
alonsito453,0.39
kotzer100tifiko,0.46
manccon3,0.24
sixsfake,0.36
harrisonrincon6,0.18
veggetoz2,0.43
crystian_tp,0.36
irvingd100tifik,Null
wizard_ale,0.25
allwithmichel,0.28
brendacorenwn,0.44
hecghos,0.35
juanjoseff2407,0.5
trendinaliamx,0.42
teambrocoli9,0.5714594686359393
mercafake,0.25
andresgv98,0.4
jetemymx,0.53
skinuke25,0.28
martinezz7w7,Null
cristhyan_ramos,0.23
weritacortez12,0.21
katastrxph,0.53
adrianlarazepe1,0.36
lizetsan1,0.3
xaviercevallo12,Null
sergii100tifik0,0.32
prrodlmal_v,0.55
charly100cia,0.47
daridaldinas,0.45
adrianduckswag,0.46
saul86xdxdxd,Null
brayan53605109,Null
victorteran121,Null
eltiojirano,0.32
carlosmataits,0.3
dante_grl,0.35
hks100tifika,0.48
gabo100cia2,Null
kelvin20024017,Null
escobedomichell,0.3
yaeloow_yael,0.38
solcazares1,0.31
jonathanvr13_f,0.69
neuromisogino,Null
lopezobrador_,0.51
galileacr1,Null
nelsongps25,0.32
damian100tifik0,0.4
val3nco,0.33
andresarango802,0.2
javiers0310,0.25
emanu3li70,0.51
maubrizuela11,0.3
mr_hater24,0.4
nelrat26,0.14
susy_u_bautista,0.18
jokimo333,Null
benjamin_cct,0.36
sinfollowerx,Null
cristia52986975,0.5
sanpevo,0.37
jesusgz5,Null
joseabr37881942,0.35
_angel_pacheco,Null
gerardo63170873,Null
samashguzman,Null
brozoxmizwebs,0.47
gael2222222,Null
miguel23863138,0.23
joeluruzagasti1,0.16
shannonpro182,0.56
coppel,0.53
sorianacom,0.51
eduardo21992,0.22
joshuaca10,0.46
joelmor09405758,0.45
asunayuuki953_l,0.53
pamegs26kawaii,0.55
g100tifiko,0.47
urban456,Null
cjcarlosalberto,Null
ferxx222,0.29
luisga_bv,0.13
io_feik,0.33
diaz123cger,Null
dany_alex33,0.4
wilsonivan1223,0.35
fr0st_m,0.38
pulgininis,0.15
mayu030303,0.5025
leslyeramirez10,0.51
feer100cia,0.24
brianfr34916350,0.25
supadre4,0.39
julio35314,0.34
rolandohg16,0.25
santi_nogu3z,0.4
krahs_dj,0.23
isaazucarera,0.19
alex100cia,0.28
mineeian12,Null
fer79322012,0.37
alejo100tifiko,0.3
bydoge89,0.18
javier_rh21,Null
emiliano1462,0.51
aliaga_lopez,0.33
papujdcash,0.66
trespiernas2,Null
seba_la_fuente,0.45
agripinoeduardo,0.2
donaguessxl,Null
rosaarath,Null
alexa111u,0.5
zbenja10,0.3
lautarofake,0.28
informasantwits,Null
colonia02gener,0.27
paulrod100tifik,Null
xdeepseagirlx,Null
luiortiiz,0.3
alex24635,0.51
aryink_lml,0.63
crazy100tist,0.47
blbalaprepa,Null
jadwer,0.22
angelya53069795,0.26
fernanda_caez,0.47
eduardolara750,0.33
pokeristaariel,0.4
tlahuicole_97,0.41
andrea_myz,0.46
junitanidiaz,Null
richie_nekuih,0.3
denis100tifiko,0.49
isaacjc521,0.7
andrikelihu,0.56
yaree_liizt,0.26
isra100tifico,0.31
karol100cia,Null
100cia7,Null
fabian100cia,0.59
pablonez19,0.49
alan_biancci,Null
aluxzzz,Null
lagartov232,Null
100tifika_katy,Null
zaigabriela_ram,Null
mrking_26,Null
astrid_100cia,Null
lefr28,Null
gerardo110991,Null
guille100tifiko,Null
devora_martinez,Null
miguel0509999,Null
andeleweey,Null
laudergalaxye7,Null
dimej0nas,Null
tona_cruz263,Null
manteteinformad,Null
enigmajd,Null
tavo_gaso,Null
donaltrumpnew,Null
realdonaldtrump,Null
alexisajotar,Null
lil_nicxlvs,Null
ajosue92,Null
tonyrmz_,Null
emeau,Null
marianalimasali,Null
nancydegarcia2,Null
erickal69819996,Null
edsondante,0.3
irirvinzgg,0.61
marcoescalanten,0.45
davidaycko,Null
kuautli31,0.32
miguel121113,0.41
victorponce27,Null
liverpoolmexico,0.48
debryanshow,0.31
pemex,0.44
anavillaseorram,0.41
tandemwharf,0.3
manonino30,0.32
crilose33,0.24
eduardoh_09,0.42
omar_si88,0.21
wheeler483,0.32
guerotegamer,0.19
efrenjimenez77,Null
jerryauriazul_9,Null
anisceto,0.17
fnafsaga728,Null
lopez_barraga,Null
jusei98,0.33
brentega2615191,0.57
alovach0,Null
srjuan7,0.24
luca_jazmin,0.33
jcharlie_27,Null
ulises100cia2,0.3
panda_friki321,Null
yael_feick,0.31
pinchewor_dito,Null
camilocastib22,0.28
platanitopower1,0.24
braunflores,0.57
jigsaw3d7,0.39
policia,0.39
walmartmexico,0.36
charlesvelaa,Null
louisphilip_xd,0.25
starbucksmex,0.54
eaglesports8,0.34
cova_pau,0.33
diana85480227,0.33
maska_mesta,0.39
starbucks,0.73
televisa_prensa,0.37
azteca,0.37
saulanderssen,0.39
yayoflewerer,0.33
carreraalexitho,0.4
raulbr3,0.6
fakekash__,Null
ramsesk9,0.25
juan_neirad,0.22
jesus100tifiko,0.31
serquiru,0.34
panchomndz69,0.31
fvcknmaje,Null
feikraul,Null
xxeduardoxx32,0.16
d4rw1ng4m3s,0.3
erickgo35828731,0.37
100tifiko4,Null
jordy_s162,0.24
wendygamez28_03,0.61
jjsvlp,0.35
hail100ciaxdv,Null
hey_hell03,0.28
the_eddied,Null
pelxdxtx,Null
alexo12yshsh,0.32
tnymrmttx,0.28
mrasecska,0.36
javierl46775043,0.28
ra_osielx,Null
lvidegaray,0.44
alexjimenez07,0.36
aguas_rogelio1,Null
shurikei,0.18
jerrybv3,0.43
aldohldj,0.11
realgolikgoku,0.43
videsnina,0.35
chaman_samahel,0.31
ladahir,0.3
juanfernandoxd0,0.3
santader_james,0.43
hhail100cia,0.3
realoscariero,0.41
activiamx,0.45
yisus_olg,0.44
osw_15s,0.35
fernandoesc101,0.58
galind_rodrigo,0.22
geradovaldez,0.19
benijuarez2,Null
rios_lucas7w7,0.46
aifonsuki,Null
clinginkey82,0.44
tpepinillo,Null
josua100tifiko,0.48
jonathan_al_ga,0.45
jaroltoscano,0.25
nmojales,0.24
alee_trs,0.19
wichilopochtli_,Null
walter24445780,0.27
kyu_kimi,0.44
rafaelhdz,0.32
famililuna4juan,0.55
de100cia,0.34
carlos_100cia,Null
mayscualo,0.28
anderzyfeik,0.59
raxord,0.19
finc56,0.33
abrildouce,0.15
fonsekhdzz,0.49
_nolly__,Null
jolvwtc,0.33
lizmenita,0.17
alexa2207alexa,0.14
zspace7u7,0.34
gabo34,0.5
nuevabar,0.29
homelinux,0.48
yosinuser,Null
pantojah,0.35
annleeu,0.33
smoothattack,0.16
yosoyheman,0.27
unsimpleviajero,Null
elfigurita_,0.27
nahat_sc,0.25
chinochanglee,0.16
vanraltee,0.25
jorge_vyg,0.46
meloswa,0.22
tuitnauta,0.28
numazicierto292,0.23
pri_nacional,0.41
edomex,0.52
paint_hope,0.34
esporunnuevomex,Null
ancasyoalli,0.19
richardsphon,Null
medioscar1,Null
jgvalencia,0.13
rodabla,0.43
brayan83312696,Null
wicho_cruz_8989,0.3
dylanma00702681,0.35
yukybutterfly,0.33
2070marco,Null
roo_260,0.36
gerardo_inna,0.3
kaanec,0.25
o_oso_o,0.3
mcstriker0500,0.54
f_cienfires,Null
mac_film,0.46
kuri_102,0.25
yazmindeanda,0.41
donovanjosfath,0.41
nicklyi,0.34
noeshin25_noe,0.39
yixingpatron,0.29
abicarord,Null
donnadie69,0.24
carlosbocardow,0.57
monymt,0.33
kreen54691833,0.69
xsleepwxlkingx,0.3
catarangel7u7,0.63
wilderescalant1,0.9971428571428571
angelfeik285,Null
carmeleona,0.36
miguelmangelr,Null
memosomething,0.27
alfabetogamma,0.28
javi_moa,0.5714594686359393
ibagon99,Null
chumeltorres,0.33
giveawayplaywik,Null
esteban59420811,0.47
ve1cu,0.34
erickviales1,Null
mario_c24,Null
feikulises,0.23
juancarlosomfg,0.36
fernangalicia20,0.41
mr_infame,0.11
diegosalas100,0.51
willy909willy,0.31
jhonatanalons17,0.42
eliteharp,0.49
danielr1223,0.54
padre_karras,0.15
jasstechmx,0.37
fabianmayo3,0.43
maauguerrero,0.35
soy_jonas23,0.62
arube76,0.26
franco_esca,0.45
yesslara95,0.23
thedatarobot,0.39
fcbjhonathan,0.3
madridixta88,Null
ghoswithe,0.29
cliffordxmine,Null
josue_aquino12,0.34
embrionistico,Null
vazquez_isaac09,0.19
aprmespitza_,0.33
galtro85,0.41
auriazul98,0.18
niicorcr,0.06
soy_tijeras,0.17
vanillaomar,Null
icterico,Null
edwin_mg13,0.26
jakiiriz03,0.44
elpinoles1,0.29
devilchaff3,Null
nilmau,Null
corderawers,Null
s0unshine,Null
5sosmukecamps,Null
mrpanadero,Null
gescobarxx,Null
soofiroobles,Null
isoyfarid,Null
sallagoyehosua,Null
betscoo44,Null
chica_sme,Null
alejanrroph,Null
rafareptar85,Null
noinfanciasino,Null
osckar4,Null
perrosodomita,Null
oduranfraire,Null
nayeli0301,Null
iamlivra,Null
paoladmsspree,Null
flxtchcliff,Null
valdo356,Null
mariapiarp,Null
zairus00,Null
100emanuelftp,Null
salma_ac,Null
_rikiluiss,Null
gameraventures,Null
vic666mun,Null
mellamanmud,Null
solosimona1345,Null
cuencamelo,Null
manuel_ibarra,Null
laurenymica,Null
g_ojedadegarcia,Null
matute_morales,Null
karlagpepattcu1,Null
ivandyyk,Null
chairotron,Null
miguelb_patron,Null
kevinadolfobv,Null
ambar1033,Null
linkinmx81,Null
alfonsobtr,Null
kevinmt49,Null
angelgo32052031,Null
vicman8202,Null
promise_louis91,Null
donrayokrueger,Null
betoperafan,Null
pedrochis,Null
srvacoso,Null
callatetuboca_,Null
latiayacki,Null
alex69x2,Null
michaelsclarity,Null
alexalcantar23,Null
cloud5223,Null
valeria97_lol,Null
jimboo0,Null
cmarambioj,Null
simitrioh,Null
rodrigopoulain,Null
n3z027,Null
miguelconter16,Null
